ID do Procedimento;Descrição do Procedimento
20101112;Avaliação da composição corporal por pesagem hidrostática
20101325;Avaliação e diagnóstico de morte encefálica - exame clínico que confirme coma não perceptivo e ausência de função do tronco encefálico
20101333;Avaliação e diagnóstico de morte encefálica - teste de apneia que confirme ausência de movimentos respiratórios após estimulação máxima dos centros respiratórios
20101244;Avaliação e seleção para implante coclear unilateral
20101236;Avaliação geriátrica ampla - AGA
20101341;Avaliação neurológica ampla - ANA
20101074;Avaliação nutrológica (inclui consulta)
20101082;Avaliação nutrológica pré e pós-cirurgia bariátrica (inclui consulta)
20101120;Controle anti-doping (por período de 2 horas) - durante competições
20101139;Controle anti-doping (por período de 2 horas) - fora de competições
20101260;Mapeamento e balanceamento dos eltrodos do implante coclear unilateral
20101422;Monoximetria não invasiva (COex)
20101279;Potencial evocado eletricamente no sistema auditivo central
20101155;Prestação de serviços em delegações ou competições esportivas
20101350;Programação de dispositivos neurofuncionais
20101287;Reflexo estapediano eliciado eletricamente unilateral
20101171;Rejeição de enxerto renal - tratamento ambulatorial - avaliação clínica diária
20101376;Teste cutâneo de puntura ou intradérmico com medicamentos (até 3 drogas)
20101392;teste de provocação com medicamentos via injetável
20101384;Teste de provocação com medicamentos via oral
20101368;Teste de provocação oral (TPO) com alimentos
20101295;Troca do processador de áudio do implante coclear unilateral
20102151;Gestão de pacientes com apneia obstrutiva do sono elegíveis para tratamento com pressão positiva contínua em via aérea
20102011;Holter de 24 horas - 2 ou mais canais - analógico
20102020;Holter de 24 horas - 3 canais - digital
20102062;Monitor de eventos sintomáticos por 15 a 30 dias (LOOPER)
20102038;Monitorização ambulatorial da pressão arterial - MAPA (24 horas)
20102160;Monitorização ambulatorial da pressão arterial de 5 dias - MAPA 5d
20102178;Monitorização contínua da insuficiência respiratótia em pacientes com esclerose lateral amiotrófica (ELA) que necessitam de assistência ventilatória não-invasiva
20102070;Tilt teste
20103018;Adaptação e treinamento de recursos ópticos para visão subnormal (por sessão) - binocular
20103026;Amputação bilateral (preparação do coto)
20103034;Amputação bilateral (treinamento protético)
20103042;Amputação unilateral (preparação do coto)
20103050;Amputação unilateral (treinamento protético)
20103069;Assistência fisiátrica respiratória em pré e pós-operatório de condições cirúrgicas
20103077;Ataxias
20103093;Atendimento fisiátrico no pré e pós-operatório de pacientes para prevenção de sequelas
20103107;Atendimento fisiátrico no pré e pós-parto
20103115;Atividade reflexa ou aplicação de técnica cinesioterápica específica
20103123;Atividades em escola de postura (máximo de 10 pessoas) - por sessão
20103131;Biofeedback com EMG
20103140;Bloqueio fenólico, alcoólico ou com toxina botulínica por segmento corporal
20103158;Confecção de órteses em material termo-sensível (por unidade)
20103166;Confecção de prótese imediata
20103174;Confecção de prótese provisória
20103182;Desvios posturais da coluna vertebral
20103190;Disfunção vésico-uretral
20103204;Distrofia simpático-reflexa
20103212;Distúrbios circulatórios artério-venosos e linfáticos
20103220;Doenças pulmonares atendidas em ambulatório
20103239;Exercícios de ortóptica (por sessão)
20103247;Exercícios para reabilitação do asmático (ERAC) - por sessão coletiva
20103255;Exercícios para reabilitação do asmático (ERAI) - por sessão individual
20103263;Hemiparesia
20103271;Hemiplegia
20103280;Hemiplegia e hemiparesia com afasia
20103298;Hipo ou agenesia de membros
20103301;Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo)
20103310;Lesão nervosa periférica afetando mais de um nervo com alterações sensitivas e/ou motoras
20103328;Lesão nervosa periférica afetando um nervo com alterações sensitivas e/ou motoras
20103336;Manipulação vertebral
20103344;Miopatias
20103360;Paciente com D.P.O.C. em atendimento ambulatorial necessitando reeducação e reabilitação respiratória
20103379;Paciente em pós-operatório de cirurgia cardíaca, atendido em ambulatório, duas a três vezes por semana
20103387;Pacientes com doença isquêmica do coração, atendido em ambulatório de 8 a 24 semanas
20103395;Pacientes com doença isquêmica do coração, atendido em ambulatório, até 8 semanas de programa
20103409;Pacientes com doenças neuro-músculo-esqueléticas com envolvimento tegumentar
20103417;Pacientes sem doença coronariana clinicamente manifesta, mas considerada de alto  risco,  atendido  em ambulatório, duas a três vezes por semana
20103425;Paralisia cerebral
20103433;Paralisia cerebral com distúrbio de comunicação
20103441;Paraparesia/tetraparesia
20103450;Paraplegia e tetraplegia
20103468;Parkinson
20103476;Patologia neurológica com dependência de atividades da vida diária
20103514;Patologia osteomioarticular em diferentes segmentos da coluna
20103492;Patologia osteomioarticular em dois ou mais membros
20103484;Patologia osteomioarticular em um membro
20103506;Patologia osteomioarticular em um segmento da coluna
20103522;Patologias osteomioarticulares com dependência de atividades da vida diária
20103549;Procedimentos mesoterápicos (por região anatômica)
20103557;Procedimentos mesoterápicos com calcitonina (qualquer segmento)
20103565;Processos inflamatórios pélvicos
20103581;Programa de exercício supervisionado com obtenção de eletrocardiograma e/ou saturação de O2 - sessão coletiva
20103573;Programa de exercício supervisionado com obtenção de eletrocardiograma e/ou saturação de O2 - sessão individual
20103603;Programa de exercício supervisionado sem obtenção de eletrocardiograma e/ou saturação de O2 - sessão coletiva
20103590;Programa de exercício supervisionado sem obtenção de eletrocardiograma e/ou saturação de O2 - sessão individual
20103611;Queimados - seguimento ambulatorial para prevenção de sequelas (por segmento)
20103727;Reabilitação  cardiovascular supervisionada. Programa de 12 semanas. Duas a três sessões por semana (por sessão)
20103620;Reabilitação de paciente com endoprótese
20103638;Reabilitação labiríntica (por sessão)
20103646;Reabilitação perineal com biofeedback
20103654;Recuperação funcional de distúrbios crânio-faciais
20103530;Recuperação funcional pós-operatória ou por imobilização da patologia vertebral
20103670;Recuperação funcional pós-operatória ou pós-imobilização gessada de  patologia  osteomioarticular  com complicações neurovasculares afetando mais de um membro
20103662;Recuperação funcional pós-operatória ou pós-imobilização gessada de  patologia  osteomioarticular  com complicações neurovasculares afetando um membro
20103689;Retardo do desenvolvimento psicomotor
20103697;Sequelas de traumatismos torácicos e abdominais
20103700;Sequelas em politraumatizados (em diferentes segmentos)
20103719;Sinusites
20104014;Actinoterapia (por sessão)
20104022;Aplicação de hipossensibilizante - em consultório (AHC) exclusive o alérgeno - planejamento técnico para
20104049;Cateterismo vesical em retenção urinária
20104065;Cerumen - remoção - unilateral
20104073;Crioterapia (grupo de até 5 lesões)
20104090;Curativo de extremidades de origem vascular
20104316;Curativo de ouvido (cada)
20104324;Curativo oftalmológico
20104081;Curativos em geral com anestesia, exceto queimados
20104103;Curativos em geral sem anestesia, exceto queimados
20104111;Dilatação uretral (sessão)
20104413;Estimulação magnética transcraniana superficial (repetida) - EMT
20104120;Fototerapia com UVA (PUVA) (por sessão)
20104138;Imunoterapia específica - 30 dias - planejamento técnico
20104146;Imunoterapia inespecífica - 30 dias - planejamento técnico
20104154;Instilação vesical ou uretral
20104383;Pulsoterapia intravenosa (por sessão)
20104170;Sessão de eletroconvulsoterapia (em sala com oxímetro de pulso, monitor de ECG, EEG), sob anestesia
20104189;Sessão de oxigenoterapia hiperbárica (por sessão de 2 horas)
20104197;Sessão de psicoterapia de casal
20104200;Sessão de psicoterapia de grupo (por paciente)
20104219;Sessão de psicoterapia individual
20104227;Sessão de psicoterapia infantil
20104502;Terapia anabólica óssea subcutânea - ambulatorial
20104480;Terapia anti-reabsortiva óssea intravenosa - ambulatorial
20104499;Terapia biológica anti-reabsortiva óssea subcutânea - ambulatorial
20104448;Terapia de pressão negativa - ambulatorial
20104391;Terapia imunobiológica intravenosa (por sessão)
20104421;Terapia imunobiológica subcutânea (por sessão) - ambulatorial
20104464;Terapia imunoprofilática com palivizumabe para o vírus sincicial respiratório (por sessão) - ambulatorial
20104235;Terapia inalatória - por nebulização
20104294;Terapia oncológica - planejamento e 1º dia de tratamento
20104308;Terapia oncológica - por dia subsequente de tratamento (até o início do próximo ciclo)
20104243;Terapia oncológica com altas doses - planejamento e 1º dia de tratamento
20104251;Terapia oncológica com altas doses - por dia subsequente de tratamento (até o início do próximo ciclo)
20104260;Terapia oncológica com aplicação de medicamentos por via intracavitária ou intratecal  - por procedimento
20104286;Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos com infusão de duração mínima de 6 horas - por dia subsequente de tratamento (até o início do próximo ciclo)
20104278;Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão de duração mínima de 6 horas - planejamento e 1º dia de tratamento
20104472;Terapia subcutânea com imunoglobulina humana policlonal
20104456;Tratamento preventivo da migrânea crônica
20105010;Perícia forense, por psiquiatra forense
20105029;Perícia psiquiátrica administrativa
20201010;Acompanhamento clínico de transplante renal no período de internação do receptor e do doador (pós-operatório até 15 dias)
20201150;Acompanhamento clínico hospitalar do tabagista em síndrome de abstinência, por avaliação, com visitas pós internação e pré alta, limitada a 2
20201028;Acompanhamento peroperatório
20201095;Assistência cardiológica no pós-operatório de cirurgia cardíaca (após a alta da UTI)
20201044;Assistência cardiológica peroperatória em cirurgia geral e em parto (horas suplementares) - máximo de 4 horas
20201036;Assistência cardiológica peroperatória em cirurgia geral e em parto (primeira hora)
20201109;Avaliação clínica nutrológica diária enteral
20201117;Avaliação clínica nutrológica diária parenteral
20201125;Avaliação clínica nutrológica diária parenteral e enteral
20201052;Cardioversão elétrica eletiva (avaliação clínica, eletrocardiográfica, indispensável à desfibrilação)
20201060;Rejeição de enxerto renal - tratamento internado - avaliação clínica diária - por visita
20201079;Transplante duplo rim-pâncreas - acompanhamento clínico (pós-operatório até 15 dias)
20201087;Tratamento  conservador  de  traumatismo  cranioencefálico, hipertensão  intracraniana  e  hemorragia (por dia)
20202016;Cardiotocografia anteparto
20202024;Cardiotocografia intraparto (por hora) até 6 horas externa
20202067;Monitorização da pressão intracraniana (por dia)
20202032;Monitorização hemodinâmica invasiva (por 12 horas)
20202083;Monitorização neurofisiológica intra-operatória em cirurgia de nervos periféricos
20202091;Monitorização neurofisiológica intra-operatória em cirurgia espinhais e ortopedia
20202040;Monitorização neurofisiológica intra-operatória em Neurocirurgia
20202075;Monitorização neurofisiológica intra-operatória em Otorrinolaringologia e Cirurgia de Cabeça e Pescoço
20202059;Potencial evocado intra-operatório - monitorização cirúrgica (PE/IO)
20203047;Assistência fisiátrica respiratória em doente clínico internado
20203012;Assistência fisiátrica respiratória em paciente internado com ventilação mecânica
20203020;Eletroestimulação do assoalho pélvico e/ou outra técnica de exercícios perineais - por sessão
20203063;Pacientes com doença isquêmica do coração, hospitalizado, até 8 semanas de programa
20203071;Pacientes em pós-operatório de cirurgia cardíaca, hospitalizado, até 8 semanas de programa
20204027;Cardioversão elétrica de emergência
20204035;Cardioversão química de arritmia paroxísta em emergência
20204043;Priapismo - tratamento não cirúrgico
20204159;Pulsoterapia intravenosa (por sessão)
20204221;Terapia anabólica óssea subcutânea - hospitalar
20204205;Terapia anti-reabsortiva óssea intravenosa - hospitalar
20204213;Terapia biológica anti-reabsortiva óssea subcutânea - hospitalar
20204167;Terapia imunobiológica intravenosa (por sessão)
20204175;Terapia imunobiológica subcutânea (por sessão) - hospitalar
20204183;Terapia imunoprofilática com palivizumabe para o vírus sincicial respiratório (por sessão) - hospitalar
20204086;Terapia oncológica com aplicação intra-arterial de medicamentos, em regime de aplicação peroperatória, por meio de cronoinfusor ou perfusor extracorpórea
20204191;Trombólise endovenosa no acidente vascular cerebral AVC isquêmico agudo
30101972;Abdominoplastia pós bariátrica
30101018;Abrasão cirúrgica (por sessão)
30101930;Abscesso de unha (drenagem) - tratamento cirúrgico
30101026;Alopecia parcial - exérese e sutura
30101034;Alopecia parcial - rotação de retalho
30101042;Alopecia parcial - rotação múltipla de retalhos
30101050;Apêndice pré-auricular - ressecção
30101069;Autonomização de retalho - por estágio
30101077;Biópsia de pele, tumores superficiais, tecido celular subcutâneo, linfonodo superficial, etc
30101085;Biópsia de unha
30101093;Calosidade e/ou mal perfurante - desbastamento (por lesão)
30101948;Cantoplastia ungueal
30101107;Cauterização química (por grupo de até 5 lesões)
30101115;Cirurgia da hidrosadenite (por região)
30101140;Correção cirúrgica de linfedema (por estágio)
30101158;Correção cirúrgica de sequelas de alopecia traumática com microenxertos pilosos (por região)
30101166;Correção de deformidades nos membros com utilização de implantes
30101174;Correção de deformidades por exérese de tumores, cicatrizes ou ferimentos com o emprego de expansores  em retalhos  musculares ou miocutâneos (por estágio)
30101182;Correção de deformidades por exérese de tumores, cicatrizes ou ferimentos, com o emprego de expansores de tecido, em retalhos cutâneos (por estágio)
30101190;Correção de lipodistrofia braquial, crural ou trocanteriana de membros superiores e inferiores
30101204;Criocirurgia (nitrogênio líquido) de neoplasias cutâneas
30101212;Curativo de queimaduras - por unidade topográfica (UT) ambulatorial
30101220;Curativo de queimaduras - por unidade topográfica (UT) hospitalar
30101239;Curativo especial sob anestesia - por unidade topográfica (UT)
30101247;Curetagem e eletrocoagulação de CA de pele (por lesão)
30101255;Curetagem simples de lesões de pele (por grupo de até 5 lesões)
30101263;Dermoabrasão de lesões cutâneas
30101999;Dermolipectomia dos membros inferiores - coxoplastia pós-bariátrica
30101980;Dermolipectomia dos membros superiores - braquioplastia pós-bariátrica
30101271;Dermolipectomia para correção de abdome em avental
30101280;Desbridamento cirúrgico - por unidade topográfica (UT)
30101298;Eletrocoagulação de lesões de pele e mucosas - com ou sem curetagem (por grupo de até 5 lesões)
30101301;Enxerto cartilaginoso
30101310;Enxerto composto
30101328;Enxerto de mucosa
30101336;Enxerto de pele (homoenxerto inclusive)
30101344;Enxerto de pele múltiplo - por unidade topográfica (UT)
30101352;Epilação por eletrólise (por sessão)
30101360;Escalpo  parcial  -  tratamento cirúrgico
30101379;Escalpo total - tratamento cirúrgico
30101387;Escarectomia descompressiva - (pele e estruturas profundas) - por unidade topográfica (UT)
30101395;Esfoliação química média (por sessão)
30101409;Esfoliação química profunda (por sessão)
30101417;Esfoliação química superficial (por sessão)
30101425;Exérese de higroma cístico
30101433;Exérese de higroma cístico no RN e lactente
30101468;Exérese de lesão / tumor de pele e mucosas
30101441;Exérese de lesão com auto-enxertia
30101476;Exérese de tumor e rotação de retalho músculo-cutâneo
30101484;Exérese de unha
30101921;Exérese e sutura de hemangioma, linfangioma ou nevus (por grupo de até 5 lesões)
30101450;Exérese e sutura de lesões (circulares ou não) com rotação de retalhos cutâneos
30101492;Exérese e sutura simples de pequenas lesões (por grupo de até 5 lesões)
30101506;Exérese tangencial (shaving) - (por grupo de até 5 lesões)
30101514;Expansão tissular (por sessão)
30101522;Extensos ferimentos, cicatrizes ou tumores - excisão e retalhos cutâneos da região
30101530;Extensos ferimentos, cicatrizes ou tumores - exérese e emprego de retalhos cutâneos ou musculares  cruzados (por estágio)
30101549;Extensos ferimentos, cicatrizes ou tumores - exérese e retalhos cutâneos à distância
30101557;Extensos ferimentos, cicatrizes ou tumores - exérese e rotação de retalho fasciocutâneo ou axial
30101565;Extensos ferimentos, cicatrizes ou tumores - exérese e rotação de retalhos miocutâneos
30101573;Extensos ferimentos, cicatrizes ou tumores - exérese e rotação de retalhos musculares
30101581;Extensos ferimentos, cicatrizes, ou tumores - exérese e enxerto cutâneo
30101590;Face - biópsia
30101603;Ferimentos infectados e mordidas de animais (desbridamento)
30101620;Incisão e drenagem de abscesso, hematoma ou panarício
30101638;Incisão e drenagem de flegmão
30101611;Incisão e drenagem de tenossinovites purulentas
30101646;Infiltração  intralesional, cicatricial e hemangiomas - por sessão
30101654;Lasercirurgia (por sessão)
30101662;Matricectomia por dobra ungueal
30101670;Plástica em Z ou W
30101689;Reconstrução com retalhos de gálea aponeurótica
30101697;Retalho composto (incluindo cartilagem ou osso)
30101719;Retalho muscular ou miocutêno
30101735;Retirada de corpo estranho subcutâneo
30101743;Retração cicatricial de axila - tratamento cirúrgico
30101751;Retração cicatricial de zona de flexão e extensão de membros superiores e inferiores
30101760;Retração cicatricial do cotovelo - tratamento cirúrgico
30101778;Retração de aponevrose palmar (Dupuytren)
30101786;Sutura de extensos ferimentos com ou sem desbridamento
30101794;Sutura de pequenos ferimentos com ou sem desbridamento
30102014;Terapia de pressão negativa - cirúrgica
30101808;Transecção de retalho
30101816;Transferência intermediária de retalho
30101824;Tratamento cirúrgico de bridas constrictivas
30101832;Tratamento cirúrgico de grandes hemangiomas
30101840;Tratamento da miiase furunculóide (por lesão)
30101859;Tratamento de anomalias pilosas a laser/photoderm - por sessão
30101867;Tratamento de escaras ou ulcerações com enxerto de pele
30101875;Tratamento de escaras ou ulcerações com retalhos cutâneos locais
30101883;Tratamento de escaras ou ulcerações com retalhos miocutâneos ou musculares
30101891;Tratamento de fístula cutânea
30101905;Tratamento de lesões cutâneas e vasculares a laser/photoderm - por sessão
30101913;TU partes moles - exérese
30101956;Unha (enxerto) - tratamento cirúrgico
30201012;Biópsia de lábio
30201020;Excisão com plástica de vermelhão
30201039;Excisão com reconstrução à custa de retalhos
30201047;Excisão com reconstrução total
30201055;Excisão em cunha
30201063;Frenotomia labial
30201071;Queiloplastia para fissura labial unilateral - por estágio
30201080;Reconstrução de sulco gengivo-labial
30201098;Reconstrução total do lábio
30201101;Tratamento cirúrgico da macrostomia
30201110;Tratamento cirúrgico da microstomia
30202019;Alongamento cirúrgico do palato mole
30202027;Biópsia de boca
30202035;Excisão de lesão maligna com reconstrução à custa de retalhos locais
30202043;Excisão de tumor de boca com mandibulectomia
30202051;Exérese de tumor e enxerto cutâneo ou mucoso
30202060;Fístula orofacial - tratamento cirúrgico
30202078;Glossectomia subtotal ou total, com ou sem mandibulectomia
30202094;Palatoplastia com enxerto ósseo
30202108;Palatoplastia com retalho faríngeo
30202116;Palatoplastia com retalho miomucoso
30202124;Palatoplastia parcial
30202132;Palatoplastia total
30202086;Palato-queiloplastia unilateral
30202140;Plástica do ducto parotídeo
30203031;Biópsia de língua
30203015;Frenotomia lingual
30203023;Tumor de língua - tratamento cirúrgico
30204011;Biópsia de glândula salivar
30204020;Excisão de glândula submandibular
30204038;Exérese de rânula ou mucocele
30204070;Parotidectomia com reconstrução do nervo facial
30204046;Parotidectomia parcial com conservação do nervo facial
30204062;Parotidectomia total com conservação do nervo facial
30204089;Parotidectomia total com sacrificio do nervo facial, sem reconstrução
30204097;Plastia de ducto salivar ou exérese de cálculo ou de rânula salivar
30204100;Ressecção de tumor de glândula sublingual
30205018;Abscesso faríngeo - qualquer área
30205026;Adeno tonsilectomia - revisão cirúrgica
30205042;Adenoidectomia
30205271;Adenoidectomia por videoendoscopia
30205050;Amigdalectomia das palatinas
30205069;Amigdalectomia lingual
30205077;Biópsia do cavum, orofaringe ou hipofaringe
30205085;Cauterização (qualquer técnica) por sessão
30205093;Corpo estranho de faringe - retirada em consultório
30205107;Corpo estranho de faringe - retirada sob anestesia geral
30205115;Criptólise amigdaliana
30205140;Faringolaringectomia
30205158;Faringolaringoesofagectomia total
30205166;Ressecção de nasoangiofibroma
30205280;Ressecção de nasoangiofibroma por videoendoscopia
30205174;Ressecção de tumor de faringe (via bucal ou nasal)
30205182;Ressecção de tumor de faringe com acesso por faringotomia ou por retalho jugal
30205190;Ressecção de tumor de faringe com mandibulectomia
30205204;Ressecção de tumor de faringe por mandibulotomia
30205212;Ressecção de tumor de nasofaringe via endoscópica
30205220;Tonsilectomia a laser
30205239;Tumor de boca ou faringe - ressecção
30205247;Uvulopalatofaringoplastia (qualquer técnica)
30205263;Uvulopalatofaringoplastia por radiofrequência
30206014;Alargamento de traqueostomia
30206022;Aritenoidectomia microcirúrgica
30206030;Aritenoidectomia ou aritenopexia via externa
30206049;Confecção de fístula tráqueo-esofágica para prótese fonatória com miotomia faríngea
30206065;Exérese de tumor por via endoscópica
30206103;Injeção intralaríngea de toxina botulínica
30206120;Laringectomia parcial
30206138;Laringectomia total
30206170;Laringofissura (inclusive com cordectomia)
30206200;Laringotraqueoplastia
30206219;Microcirurgia com laser para remoção de lesões malignas
30206227;Microcirurgia com uso de laser para ressecção de lesões benignas
30206235;Microcirurgia para decorticação ou tratamento de edema de Reinke
30206243;Microcirurgia para remoção de cisto ou lesão intracordal
30206251;Microcirurgia para ressecção de papiloma
30206260;Microcirurgia para ressecção de pólipo, nódulo ou granuloma
30206278;Microcirurgia para tratamento de paralisia de prega vocal (inclui injeção de materiais)
30206294;Reconstrução para fonação após laringectomia
30206308;Tiroplastia tipo 1 com rotação de aritenóide
30206316;Tiroplastia tipo 1 simples
30206324;Tiroplastia tipo 2 ou 3
30206359;Tratamento cirúrgico da estenose laringo-traqueal
30206367;Tratamento cirúrgico de trauma laríngeo (agudo)
30207088;Fratura  simples de mandíbula com contenção e bloqueio intermaxilar eventual
30207118;Fratura cominutiva de mandíbula - redução cirúrgica com fixação óssea e bloqueio intermaxilar eventual
30207142;Fratura de maxila, tipo Lefort I e II - redução e aplicação de levantamento zigomático-maxilar com bloqueio intermaxilar eventual
30207150;Fratura de maxila, tipo Lefort III - redução e aplicação de levantamento crânio-maxilar com bloqueio intermaxilar eventual
30207070;Fratura do arco zigomático - redução cirúrgica com fixação
30207061;Fratura do arco zigomático - redução instrumental sem fixação
30207169;Fratura Lefort I - fixação cirúrgica com síntese óssea, levantamento e bloqueio intermaxilar eventual
30207177;Fratura Lefort II - fixação cirúrgica com síntese óssea, levantamento e bloqueio intermaxilar eventual
30207185;Fratura Lefort III - fixação cirúrgica com síntese óssea, levantamento crânio-maxilar e bloqueio intermaxilar eventual
30207100;Fratura naso etmóido órbito-etmoidal
30207096;Fratura simples de mandíbula - redução cirúrgica com fixação óssea e bloqueio intermaxilar eventual
30207134;Fraturas alveolares - fixação com aparelho e contenção
30207126;Fraturas complexas de mandíbula - redução cirúrgica com fixação óssea e eventual bloqueio intermaxilar
30207207;Fraturas complexas do terço médio da face, fixação cirúrgica com síntese, levantamento crânio-maxilar, enxerto ósseo, halo craniano eventual
30207193;Fraturas múltiplas de terço médio da face: fixação cirúrgica com síntese óssea, levantamento crânio maxilar e bloqueio intermaxilar
30207045;Redução de fratura de seio frontal (acesso coronal)
30207037;Redução de fratura de seio frontal (acesso frontal)
30207029;Redução de fratura do malar (com fixação)
30207010;Redução de fratura do malar (sem fixação)
30207231;Redução de luxação do ATM
30207215;Retirada dos meios de fixação (na face)
30207223;Tratamento conservador de fratura de ossos
30208017;Artroplastia para luxação recidivante da articulação têmporo-mandibular
30208025;Osteoplastia para prognatismo, micrognatismo ou laterognatismo
30208084;Osteotomia crânio-maxilares complexas
30208050;Osteotomia tipo Lefort I
30208068;Osteotomia tipo Lefort II
30208076;Osteotomia tipo Lefort III - extracraniana
30208033;Osteotomias alvéolo palatinas
30208041;Osteotomias segmentares da maxila ou malar
30208106;Reconstrução parcial da mandíbula com enxerto ósseo
30208114;Reconstrução total de mandíbula com prótese e ou enxerto ósseo
30208092;Redução simples da luxação da articulação têmporo-mandibular com fixação intermaxilar
30208130;Translocação etmóido orbital para tratamento do hipertelorismo    miocutâneo associado a expansor de tecido - por lado
30208122;Tratamento cirúrgico de anquilose da articulação têmporo-mandibular
30209056;Correção cirúrgica de depressão (afundamento) da região frontal
30209048;Osteoplastias da órbita
30209021;Osteoplastias de mandíbula
30209030;Osteoplastias do arco zigomático
30209013;Osteoplastias etmóido orbitais
30210020;Correção de tumores, cicatrizes ou ferimentos com o auxílio de expansores de tecidos - por estágio
30210127;Exérese de tumor benigno, cisto ou fístula
30210119;Exérese de tumor maligno de pele
30210011;Hemiatrofia facial, correção com enxerto de gordura ou implante
30210054;Paralisia facial - reanimação com o músculo temporal (região oral), com neurotização
30210038;Paralisia facial - reanimação com o músculo temporal (região oral), sem neurotização
30210062;Paralisia facial - reanimação com o músculo temporal (região orbital e oral), com neurotização
30210046;Paralisia facial - reanimação com o músculo temporal (região orbital), sem neurotização
30210089;Reconstrução com retalho axial da artéria temporal superficial
30210070;Reconstrução com retalhos axiais supra-orbitais e supratrocleares
30210097;Reconstrução com retalhos em VY de pedículo subarterial
30210100;Reconstrução com rotação do músculo temporal
30211018;Biópsia de mandíbula
30211042;Hemimandibulectomia ou ressecção segmentar ou seccional da mandíbula
30211050;Mandibulectomia total
30211034;Ressecção de tumor de mandíbula com desarticulação de ATM
30212014;Cervicotomia exploradora
30212022;Drenagem de abscesso cervical profundo
